k,funds,weights,effective_bets,max_pair_corr,cum_return,cagr,ann_vol,max_drawdown,max_dd_duration_bdays,sharpe,sortino,calmar,cvar_95,ulcer_index,hit_rate_monthly,worst_rolling_12m,tracking_error,information_ratio,upside_capture,downside_capture,corr_with_dis,beta_vs_dis
4,CNEF;CPF;GTF;NAEF,0.100;0.300;0.100;0.500,3.471250612383838,0.4718059875467374,0.5592335653381142,0.07419437723759303,0.11195253860399582,-0.19509298850717305,582.0,0.6954616929302151,0.8418832236088785,0.38030263314596313,-0.01686078534905343,0.06429332271937697,0.647887323943662,-0.16770678319236398,0.037946899453987215,0.2290911633752373,0.9843453409826027,0.9385775506991053,0.942483294234541,1.063485284467344
3,GTF;HSHF;VUEF,0.400;0.100;0.500,2.4914713903733827,0.4818579805555785,0.558950209071361,0.07416292138800373,0.11280505652743877,-0.20192087992702157,596.0,0.6907299804562604,0.8775945077208984,0.36728703547056535,-0.016992097622574365,0.0718371338656513,0.647887323943662,-0.18822024121522885,0.06895145360252793,0.12693614637982256,1.0039082620005741,0.9630942430383519,0.7958525077380364,0.9048675928389891
3,CPF;HSHF;NAEF,0.400;0.100;0.500,2.912708029902245,0.2080992318007562,0.5589309411343732,0.07416078224817801,0.11100931097397579,-0.1930070020719029,534.0,0.700133844964905,0.8438347555467259,0.38423881751476624,-0.016807715313201278,0.05724312783312743,0.6619718309859155,-0.15182711193333887,0.03759891959062433,0.22755901311257115,0.9601754579949219,0.9193235591634511,0.9421375320277786,1.0541382935680197
5,CPF;EUEF;GTF;HKEF;NAEF,0.200;0.200;0.100;0.100;0.400,3.7167479467081037,0.5925898063315813,0.5587375229366622,0.07413930759585052,0.1165134350451178,-0.23323977638744364,586.0,0.6724403773312384,0.7788407611203221,0.31786734125784294,-0.01788979745298993,0.06792055688383031,0.676056338028169,-0.18646202153939495,0.031584514088096156,0.2907417070692116,1.1407751152147798,1.0350558799810892,0.9697947556540724,1.1388845871118913
4,CNEF;CPF;EUEF;NAEF,0.100;0.300;0.200;0.400,3.120957292817155,0.5925898063315813,0.5586358157834308,0.07412801445365869,0.11615358176475052,-0.22981592650692406,586.0,0.6740653989072426,0.7820197068605741,0.3225538611721294,-0.017824633529032345,0.06820033377938013,0.6619718309859155,-0.1844938299176433,0.032162323998277946,0.28386343425547533,1.1098511061114626,1.0156660380034461,0.9675685221335625,1.1327608102565334
5,EUEF;GBF;GTF;HKEF;VUEF,0.200;0.100;0.200;0.100;0.400,3.5037119060512274,0.5656946229667411,0.5583930442939036,0.0741010556111441,0.1167018584502509,-0.23409571256975936,610.0,0.6711637156908334,0.8152189793526963,0.3165417033815276,-0.017598700073977583,0.07834163816361774,0.6901408450704225,-0.21210369575530919,0.05977620223497403,0.15324911787659937,1.188586295163729,1.0726903086421375,0.8589030342331082,1.0102893784077076
5,CPF;EUEF;GBF;HSHF;VUEF,0.200;0.200;0.100;0.100;0.400,4.070376142010785,0.5656946229667411,0.5579887129369312,0.07405614834421215,0.11541123596472808,-0.22892753796344,597.0,0.6769953898360753,0.8231391113715395,0.32349165593192636,-0.017427679673060796,0.07163273125329771,0.676056338028169,-0.19646351659979688,0.05994917665086242,0.14958457315697354,1.1303093415925982,1.0372049954314302,0.8545225731941535,0.9940208856800922
5,ANEF;CPF;GBF;GEF;GTF,0.100;0.100;0.100;0.600;0.100,3.860542795043725,0.5347599130410681,0.5574704304290317,0.07399857073501792,0.11203639167573946,-0.23557709317426945,557.0,0.6935862654629735,0.7956203088020407,0.3141161550893111,-0.017026815551316327,0.0757844321045339,0.6619718309859155,-0.20250331357881346,0.023795124686330882,0.3589600780808966,1.1558211785896513,1.0443645643008603,0.9819258246428288,1.1088215893165283
4,CPF;GBF;HKEF;NAEF,0.300;0.100;0.100;0.500,3.8919598574059258,0.22576868287381696,0.5573769386881278,0.0739881827367832,0.11126969463208661,-0.19566515696034226,580.0,0.6973186341948165,0.8419320996094476,0.37813673055637215,-0.016777765114588804,0.06343962243890368,0.6619718309859155,-0.16896549057700505,0.035334817410904634,0.23843419670672514,1.0213896995316383,0.9679429680906674,0.9500331633274133,1.0654658634321508
4,CNEF;GBF;GTF;VUEF,0.100;0.100;0.300;0.500,3.1858656812247235,0.4718059875467374,0.5572944994718838,0.07397902236601128,0.11328346598668619,-0.21553328441740527,648.0,0.6867813520937736,0.8700192792615067,0.3432371133116605,-0.01703674579985478,0.0792439991280174,0.647887323943662,-0.20271312071681136,0.06861947082472439,0.12584721440493457,1.039516857693947,0.9912171185366804,0.7993350537964286,0.9126815365389214
