date,bid,offer,price
2022-04-04,14.01,14.01,14.01
2022-04-06,13.87,13.87,13.87
2022-04-07,13.66,13.66,13.66
2022-04-08,13.7,13.7,13.7
2022-04-11,13.48,13.48,13.48
2022-04-12,13.46,13.46,13.46
2022-04-13,13.55,13.55,13.55
2022-04-14,13.6,13.6,13.6
2022-04-19,13.37,13.37,13.37
2022-04-20,13.4,13.4,13.4
2022-04-21,13.34,13.34,13.34
2022-04-22,13.2,13.2,13.2
2022-04-25,12.86,12.86,12.86
2022-04-26,12.88,12.88,12.88
2022-04-27,12.79,12.79,12.79
2022-04-28,12.93,12.93,12.93
2022-04-29,13.15,13.15,13.15
2022-05-03,13.11,13.11,13.11
2022-05-04,13.04,13.04,13.04
2022-05-05,13.06,13.06,13.06
2022-05-06,12.71,12.71,12.71
2022-05-10,12.42,12.42,12.42
2022-05-11,12.48,12.48,12.48
2022-05-12,12.18,12.18,12.18
2022-05-13,12.38,12.38,12.38
2022-05-16,12.41,12.41,12.41
2022-05-17,12.67,12.67,12.67
2022-05-18,12.75,12.75,12.75
2022-05-19,12.49,12.49,12.49
2022-05-20,12.76,12.76,12.76
2022-05-23,12.74,12.74,12.74
2022-05-24,12.56,12.56,12.56
2022-05-25,12.53,12.53,12.53
2022-05-26,12.56,12.56,12.56
2022-05-27,12.81,12.81,12.81
2022-05-30,13.07,13.07,13.07
2022-05-31,13.18,13.18,13.18
2022-06-01,13.12,13.12,13.12
2022-06-02,13.03,13.03,13.03
2022-06-06,13.16,13.16,13.16
2022-06-07,13.03,13.03,13.03
2022-06-08,13.18,13.18,13.18
2022-06-09,13.1,13.1,13.1
2022-06-10,12.97,12.97,12.97
2022-06-13,12.6,12.6,12.6
2022-06-14,12.51,12.51,12.51
2022-06-15,12.51,12.51,12.51
2022-06-16,12.38,12.38,12.38
2022-06-17,12.31,12.31,12.31
2022-06-20,12.28,12.28,12.28
2022-06-21,12.48,12.48,12.48
2022-06-22,12.23,12.23,12.23
2022-06-23,12.28,12.28,12.28
2022-06-24,12.46,12.46,12.46
2022-06-27,12.67,12.67,12.67
2022-06-28,12.72,12.72,12.72
2022-06-29,12.54,12.54,12.54
2022-06-30,12.42,12.42,12.42
2022-07-04,12.31,12.31,12.31
2022-07-05,12.31,12.31,12.31
2022-07-06,12.22,12.22,12.22
2022-07-07,12.36,12.36,12.36
2022-07-08,12.44,12.44,12.44
2022-07-11,12.22,12.22,12.22
2022-07-12,12.08,12.08,12.08
2022-07-13,12.12,12.12,12.12
2022-07-14,12.09,12.09,12.09
2022-07-15,12.02,12.02,12.02
2022-07-18,12.25,12.25,12.25
2022-07-19,12.21,12.21,12.21
2022-07-20,12.33,12.33,12.33
2022-07-21,12.34,12.34,12.34
2022-07-22,12.36,12.36,12.36
2022-07-25,12.32,12.32,12.32
2022-07-26,12.37,12.37,12.37
2022-07-27,12.34,12.34,12.34
2022-07-28,12.43,12.43,12.43
2022-07-29,12.36,12.36,12.36
2022-08-01,12.42,12.42,12.42
2022-08-02,12.28,12.28,12.28
2022-08-03,12.26,12.26,12.26
2022-08-04,12.39,12.39,12.39
2022-08-05,12.48,12.48,12.48
2022-08-08,12.45,12.45,12.45
2022-08-09,12.45,12.45,12.45
2022-08-10,12.35,12.35,12.35
2022-08-11,12.57,12.57,12.57
2022-08-12,12.58,12.58,12.58
2022-08-15,12.55,12.55,12.55
2022-08-16,12.56,12.56,12.56
2022-08-17,12.59,12.59,12.59
2022-08-18,12.53,12.53,12.53
2022-08-19,12.47,12.47,12.47
2022-08-22,12.35,12.35,12.35
2022-08-23,12.28,12.28,12.28
2022-08-24,12.23,12.23,12.23
2022-08-25,12.44,12.44,12.44
2022-08-26,12.5,12.5,12.5
2022-08-29,12.28,12.28,12.28
2022-08-30,12.34,12.34,12.34
2022-08-31,12.38,12.38,12.38
2022-09-01,12.13,12.13,12.13
2022-09-02,12.1,12.1,12.1
2022-09-05,12.04,12.04,12.04
2022-09-06,12.04,12.04,12.04
2022-09-07,11.91,11.91,11.91
2022-09-08,11.95,11.95,11.95
2022-09-09,12.11,12.11,12.11
2022-09-13,12.23,12.23,12.23
2022-09-14,11.98,11.98,11.98
2022-09-15,11.95,11.95,11.95
2022-09-16,11.78,11.78,11.78
2022-09-19,11.7,11.7,11.7
