date,bid,offer,price
2022-10-03,5.68,5.68,5.68
2022-10-05,6.04,6.04,6.04
2022-10-06,6.0,6.0,6.0
2022-10-07,5.89,5.89,5.89
2022-10-10,5.71,5.71,5.71
2022-10-11,5.56,5.56,5.56
2022-10-12,5.52,5.52,5.52
2022-10-13,5.39,5.39,5.39
2022-10-14,5.46,5.46,5.46
2022-10-17,5.46,5.46,5.46
2022-10-18,5.58,5.58,5.58
2022-10-19,5.43,5.43,5.43
2022-10-20,5.34,5.34,5.34
2022-10-21,5.35,5.35,5.35
2022-10-24,4.96,4.96,4.96
2022-10-25,5.02,5.02,5.02
2022-10-26,5.06,5.06,5.06
2022-10-27,5.08,5.08,5.08
2022-10-28,4.88,4.88,4.88
2022-10-31,4.79,4.79,4.79
2022-11-01,5.05,5.05,5.05
2022-11-02,5.19,5.19,5.19
2022-11-03,5.01,5.01,5.01
2022-11-04,5.31,5.31,5.31
2022-11-07,5.46,5.46,5.46
2022-11-08,5.43,5.43,5.43
2022-11-09,5.37,5.37,5.37
2022-11-10,5.25,5.25,5.25
2022-11-11,5.69,5.69,5.69
2022-11-14,5.8,5.8,5.8
2022-11-15,6.08,6.08,6.08
2022-11-16,6.03,6.03,6.03
2022-11-17,5.95,5.95,5.95
2022-11-18,5.94,5.94,5.94
2022-11-21,5.82,5.82,5.82
2022-11-22,5.72,5.72,5.72
2022-11-23,5.76,5.76,5.76
2022-11-24,5.81,5.81,5.81
2022-11-25,5.79,5.79,5.79
2022-11-28,5.69,5.69,5.69
2022-11-29,6.04,6.04,6.04
2022-11-30,6.18,6.18,6.18
2022-12-01,6.19,6.19,6.19
2022-12-02,6.17,6.17,6.17
2022-12-05,6.5,6.5,6.5
2022-12-06,6.44,6.44,6.44
2022-12-07,6.23,6.23,6.23
2022-12-08,6.46,6.46,6.46
2022-12-09,6.62,6.62,6.62
2022-12-12,6.42,6.42,6.42
2022-12-13,6.45,6.45,6.45
2022-12-14,6.49,6.49,6.49
2022-12-15,6.38,6.38,6.38
2022-12-16,6.43,6.43,6.43
2022-12-19,6.4,6.4,6.4
2022-12-20,6.27,6.27,6.27
2022-12-21,6.29,6.29,6.29
2022-12-22,6.5,6.5,6.5
2022-12-23,6.43,6.43,6.43
2022-12-28,6.56,6.56,6.56
2022-12-29,6.48,6.48,6.48
2022-12-30,6.49,6.49,6.49
2023-01-03,6.62,6.62,6.62
2023-01-04,6.84,6.84,6.84
2023-01-05,6.94,6.94,6.94
2023-01-06,6.91,6.91,6.91
2023-01-09,7.05,7.05,7.05
2023-01-10,7.03,7.03,7.03
2023-01-11,7.08,7.08,7.08
2023-01-12,7.08,7.08,7.08
2023-01-13,7.15,7.15,7.15
2023-01-16,7.11,7.11,7.11
2023-01-17,7.08,7.08,7.08
2023-01-18,7.1,7.1,7.1
2023-01-19,7.08,7.08,7.08
2023-01-20,7.24,7.24,7.24
2023-01-26,7.46,7.46,7.46
2023-01-27,7.52,7.52,7.52
2023-01-30,7.25,7.25,7.25
2023-01-31,7.18,7.18,7.18
2023-02-01,7.31,7.31,7.31
2023-02-02,7.26,7.26,7.26
2023-02-03,7.15,7.15,7.15
2023-02-06,6.95,6.95,6.95
2023-02-07,6.99,6.99,6.99
2023-02-08,6.95,6.95,6.95
